 ,Open,High,Low,Close,Volume
2019-09-23,2298.000,2309.000,2293.000,2295.000,3856
2019-09-24,2296.000,2305.000,2296.000,2301.000,1844
2019-09-25,2303.000,2320.000,2290.000,2312.000,4704
2019-09-26,2310.000,2312.000,2290.000,2293.000,3220
2019-09-27,2294.000,2298.000,2280.000,2283.000,3250
2019-09-30,2283.000,2302.000,2280.000,2297.000,2872
2019-10-08,2303.000,2345.000,2303.000,2329.000,4172
2019-10-09,2329.000,2394.000,2326.000,2393.000,6506
2019-10-10,2405.000,2408.000,2381.000,2393.000,4614
2019-10-11,2395.000,2427.000,2395.000,2423.000,6362
2019-10-14,2421.000,2421.000,2388.000,2396.000,4932
2019-10-15,2392.000,2406.000,2379.000,2390.000,4850
2019-10-16,2389.000,2413.000,2382.000,2397.000,4104
2019-10-17,2398.000,2403.000,2390.000,2395.000,3838
2019-10-18,2397.000,2437.000,2397.000,2408.000,6872
2019-10-21,2405.000,2460.000,2400.000,2458.000,6252
2019-10-22,2458.000,2464.000,2432.000,2448.000,5852
2019-10-23,2452.000,2460.000,2445.000,2450.000,4210
2019-10-24,2448.000,2448.000,2419.000,2426.000,5376
2019-10-25,2427.000,2431.000,2411.000,2414.000,5058
2019-10-28,2417.000,2417.000,2380.000,2385.000,5550
2019-10-29,2380.000,2394.000,2380.000,2388.000,3622
2019-10-30,2389.000,2407.000,2387.000,2389.000,7630
2019-10-31,2389.000,2401.000,2368.000,2368.000,7746
2019-11-01,2370.000,2377.000,2348.000,2374.000,8328
2019-11-04,2379.000,2386.000,2370.000,2372.000,6158
2019-11-05,2372.000,2384.000,2363.000,2365.000,8388
2019-11-06,2365.000,2370.000,2326.000,2329.000,12486
2019-11-07,2330.000,2338.000,2317.000,2329.000,10502
2019-11-08,2333.000,2348.000,2320.000,2334.000,11470
2019-11-11,2333.000,2337.000,2293.000,2297.000,11300
2019-11-12,2299.000,2299.000,2272.000,2294.000,11696
2019-11-13,2291.000,2302.000,2284.000,2289.000,9802
2019-11-14,2290.000,2298.000,2275.000,2278.000,8518
2019-11-15,2279.000,2281.000,2251.000,2271.000,13544
2019-11-18,2272.000,2303.000,2268.000,2284.000,14468
2019-11-19,2283.000,2290.000,2270.000,2281.000,9642
2019-11-20,2282.000,2294.000,2276.000,2282.000,8914
2019-11-21,2282.000,2290.000,2272.000,2284.000,7986
2019-11-22,2285.000,2289.000,2273.000,2275.000,6078
2019-11-25,2277.000,2294.000,2265.000,2293.000,17538
2019-11-26,2293.000,2312.000,2288.000,2298.000,12192
2019-11-27,2299.000,2303.000,2278.000,2280.000,13086
2019-11-28,2283.000,2285.000,2272.000,2283.000,10244
2019-11-29,2284.000,2292.000,2268.000,2291.000,16896
2019-12-02,2291.000,2298.000,2262.000,2275.000,20454
2019-12-03,2277.000,2300.000,2274.000,2294.000,23286
2019-12-04,2296.000,2302.000,2282.000,2284.000,13618
2019-12-05,2283.000,2290.000,2265.000,2288.000,27668
2019-12-06,2287.000,2306.000,2279.000,2288.000,31258
2019-12-09,2288.000,2320.000,2288.000,2316.000,25260
